Orientations,Pixels per Cell,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
8,8,0.7387820512820513,0.9871794871794872,0.3247863247863248,0.7090239410681399,0.8252947481243301,0.9165461319307473
8,12,0.7403846153846154,0.9871794871794872,0.32905982905982906,0.7103321033210332,0.8261802575107297,0.9112754766600921
6,7,0.7355769230769231,0.9871794871794872,0.3162393162393162,0.7064220183486238,0.8235294117647058,0.90471181240412
6,9,0.7323717948717948,0.9846153846153847,0.31196581196581197,0.7045871559633028,0.8213903743315508,0.9044817006355468
5,13,0.7307692307692307,0.9871794871794872,0.3034188034188034,0.7025547445255474,0.8208955223880597,0.8897655051501205
4,13,0.7323717948717948,0.9794871794871794,0.32051282051282054,0.7060998151571165,0.8206229860365198,0.8873767258382643
9,6,0.7291666666666666,0.9846153846153847,0.3034188034188034,0.7020109689213894,0.8196371398078975,0.9162941047556431
9,12,0.7323717948717948,0.9846153846153847,0.31196581196581197,0.7045871559633028,0.8213903743315508,0.9068156914310761
7,6,0.7227564102564102,0.9846153846153847,0.2863247863247863,0.6969147005444646,0.8161530286928799,0.9172912557527942
4,11,0.7387820512820513,0.9846153846153847,0.32905982905982906,0.7097966728280961,0.8249194414607949,0.8861056322594785
6,10,0.7275641025641025,0.982051282051282,0.3034188034188034,0.7014652014652014,0.8183760683760684,0.9001534078457155
5,16,0.7532051282051282,0.9846153846153847,0.36752136752136755,0.7218045112781954,0.8329718004338394,0.8971838702607933
9,16,0.7564102564102564,0.9871794871794872,0.3717948717948718,0.7236842105263158,0.8351409978308026,0.9099934253780408
9,15,0.75,0.9897435897435898,0.3504273504273504,0.7174721189591078,0.8318965517241379,0.9117411790488713
9,14,0.7435897435897436,0.9897435897435898,0.3333333333333333,0.7121771217712177,0.8283261802575107,0.9066294104755643
4,15,0.7371794871794872,0.9897435897435898,0.3162393162393162,0.706959706959707,0.8247863247863247,0.8912338373876836
8,14,0.7532051282051282,0.9948717948717949,0.3504273504273504,0.7185185185185186,0.8344086021505376,0.9090620206004822
7,16,0.7548076923076923,0.9871794871794872,0.36752136752136755,0.7223264540337712,0.8342361863488624,0.9027175104098181
4,6,0.7147435897435898,0.9846153846153847,0.26495726495726496,0.6906474820143885,0.8118393234672304,0.8921323690554459
4,14,0.7307692307692307,0.9897435897435898,0.29914529914529914,0.7018181818181818,0.8212765957446808,0.8888998465921543
