n_estimators,max_depth,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
161,7,0.7564102564102564,0.941025641025641,0.44871794871794873,0.7399193548387096,0.8284424379232506,0.86385053692746
158,20,0.7548076923076923,0.9717948717948718,0.39316239316239315,0.727447216890595,0.8320526893523601,0.8683377164146393
95,4,0.719551282051282,0.9358974358974359,0.358974358974359,0.7087378640776699,0.8066298342541437,0.8444992329607715
97,11,0.7564102564102564,0.958974358974359,0.4188034188034188,0.7333333333333333,0.8311111111111111,0.8730988384834539
37,21,0.7467948717948718,0.9564102564102565,0.3974358974358974,0.72568093385214,0.8252212389380531,0.8567828183212798
21,23,0.7548076923076923,0.958974358974359,0.41452991452991456,0.7318982387475538,0.8301886792452831,0.8534407188253343
188,1,0.625,1.0,0.0,0.625,0.7692307692307693,0.8239535393381546
199,20,0.7548076923076923,0.958974358974359,0.41452991452991456,0.7318982387475538,0.8301886792452831,0.8724523339907955
126,1,0.625,1.0,0.0,0.625,0.7692307692307693,0.817641902257287
14,17,0.7580128205128205,0.9538461538461539,0.43162393162393164,0.7366336633663366,0.8312849162011173,0.8468003506465044
11,27,0.7419871794871795,0.9487179487179487,0.3974358974358974,0.7240704500978473,0.8213096559378469,0.8393052816129738
200,32,0.75,0.9615384615384616,0.3974358974358974,0.7267441860465116,0.8278145695364238,0.8682993644532105
200,14,0.7596153846153846,0.9615384615384616,0.4230769230769231,0.7352941176470589,0.8333333333333334,0.8725728687267149
200,9,0.7548076923076923,0.9538461538461539,0.4230769230769231,0.7337278106508875,0.8294314381270903,0.8702060048213893
200,15,0.7516025641025641,0.9641025641025641,0.3974358974358974,0.7272727272727273,0.8291069459757442,0.8709237343852729
10,30,0.7660256410256411,0.9384615384615385,0.47863247863247865,0.75,0.8337129840546698,0.8367083059390753
10,13,0.75,0.9564102564102565,0.405982905982906,0.728515625,0.8270509977827051,0.8319964935349551
200,18,0.75,0.958974358974359,0.4017094017094017,0.7276264591439688,0.827433628318584,0.872479728248959
10,32,0.7548076923076923,0.9282051282051282,0.4658119658119658,0.7433264887063655,0.8255416191562144,0.8210552268244576
199,25,0.7532051282051282,0.9717948717948718,0.3888888888888889,0.7260536398467433,0.831140350877193,0.8737563006793776
